i,j,formula,eigvals,dopant_options
1,0,H216Cl72Cu72N72,"[0.        +0.00256552j 0.        +0.00256547j 0.        +0.00238439j ...
 0.40746763+0.j         0.40751031+0.j         0.40751049+0.j        ]","{'O', 'S', 'Se', 'Zn', 'F'}"
1,1,H210Cl68Cu72N72O6S,"[0.        +0.00295973j 0.        +0.00154609j 0.        +0.00132749j ...
 0.42481222+0.j         0.42683829+0.j         0.44678648+0.j        ]","{'O', 'S', 'Se', 'Zn', 'F'}"
7,0,Ba54Cu108Se216Sn54,"[0.00000000e+00+8.3427513e-06j 2.19301927e-06+0.0000000e+00j
 6.50788371e-06+0.0000000e+00j ... 2.39279826e-02+0.0000000e+00j
 2.39461541e-02+0.0000000e+00j 2.39461750e-02+0.0000000e+00j]","{'La', 'Cu', 'N', 'K', 'Co', 'Ta', 'Hg', 'Cs', 'Rb', 'Zn'}"
7,1,Ba51Cu106N4RbSe212Sn53,"[0.00000000e+00+9.26762482e-06j 2.77642994e-06+0.00000000e+00j
 9.61814258e-06+0.00000000e+00j ... 7.10919755e-02+0.00000000e+00j
 7.32969500e-02+0.00000000e+00j 7.34866749e-02+0.00000000e+00j]","{'La', 'Cu', 'N', 'K', 'Co', 'Ta', 'Hg', 'Cs', 'Rb', 'Zn'}"
7,2,Ba54CoCu106N3Se211Sn53,"[0.00000000e+00+5.93457018e-06j 8.33623889e-06+0.00000000e+00j
 1.07126948e-05+0.00000000e+00j ... 7.33608471e-02+0.00000000e+00j
 7.35545043e-02+0.00000000e+00j 7.68530910e-02+0.00000000e+00j]","{'La', 'Cu', 'N', 'K', 'Co', 'Ta', 'Hg', 'Cs', 'Rb', 'Zn'}"
7,3,Ba53Cu107N2Se214Sn54,"[0.00000000e+00+5.00945922e-06j 4.97226125e-06+0.00000000e+00j
 8.11832366e-06+0.00000000e+00j ... 6.83287596e-02+0.00000000e+00j
 6.96609135e-02+0.00000000e+00j 7.35042501e-02+0.00000000e+00j]","{'La', 'Cu', 'N', 'K', 'Co', 'Ta', 'Hg', 'Cs', 'Rb', 'Zn'}"
8,0,H72F288P72,"[0.00000000e+00+1.13454031e-04j 0.00000000e+00+3.69633399e-05j
 5.66047486e-05+0.00000000e+00j ... 3.13854119e-01+0.00000000e+00j
 3.13854525e-01+0.00000000e+00j 3.13861571e-01+0.00000000e+00j]","{'O', 'Ba', 'Sr', 'N', 'Tl', 'Na', 'Li', 'Zn', 'P'}"
9,0,Mn36Na216S144,"[0.00000000e+00+2.74857040e-05j 0.00000000e+00+1.20491789e-05j
 6.19662387e-06+0.00000000e+00j ... 3.16307779e-02+0.00000000e+00j
 3.17063913e-02+0.00000000e+00j 3.17065172e-02+0.00000000e+00j]","{'O', 'Er', 'Ca', 'N', 'Sb', 'W', 'Na', 'Li', 'Ho', 'F'}"
9,1,LiMn33NNa214S141Sb,"[0.00000000e+00+1.78421430e-05j 0.00000000e+00+1.11957334e-05j
 1.62230831e-05+0.00000000e+00j ... 3.98594395e-02+0.00000000e+00j
 4.04638919e-02+0.00000000e+00j 1.03786460e-01+0.00000000e+00j]","{'O', 'Er', 'Ca', 'N', 'Sb', 'W', 'Na', 'Li', 'Ho', 'F'}"
9,2,Mn35N3Na214S138,"[0.00000000e+00+2.38881687e-05j 0.00000000e+00+2.20518902e-05j
 1.03374120e-05+0.00000000e+00j ... 9.84078333e-02+0.00000000e+00j
 9.85743929e-02+0.00000000e+00j 9.88309131e-02+0.00000000e+00j]","{'O', 'Er', 'Ca', 'N', 'Sb', 'W', 'Na', 'Li', 'Ho', 'F'}"
9,3,LiMn34NNa210OS143Sb2,"[0.00000000e+00+1.79999868e-05j 8.95621677e-06+0.00000000e+00j
 1.45559340e-05+0.00000000e+00j ... 4.15740361e-02+0.00000000e+00j
 6.61120166e-02+0.00000000e+00j 9.97273334e-02+0.00000000e+00j]","{'O', 'Er', 'Ca', 'N', 'Sb', 'W', 'Na', 'Li', 'Ho', 'F'}"
13,0,Ge72Na144Se180,"[0.00000000e+00+1.21146543e-05j 0.00000000e+00+1.06591348e-06j
 1.16297507e-05+0.00000000e+00j ... 3.03088325e-02+0.00000000e+00j
 3.03183723e-02+0.00000000e+00j 3.03183969e-02+0.00000000e+00j]","{'O', 'Er', 'Ca', 'N', 'Cl', 'Sb', 'W', 'Ho', 'F'}"
13,1,Ge71NNa142Se174,"[0.00000000e+00+1.50215131e-05j 4.94073748e-06+0.00000000e+00j
 1.49843400e-05+0.00000000e+00j ... 3.18152871e-02+0.00000000e+00j
 3.22865325e-02+0.00000000e+00j 8.57517836e-02+0.00000000e+00j]","{'O', 'Er', 'Ca', 'N', 'Cl', 'Sb', 'W', 'Ho', 'F'}"
13,3,CaGe71N6Na143Se174,"[0.        +4.59045233e-03j 0.        +2.10629237e-03j
 0.        +1.23754677e-05j ... 0.08698872+0.00000000e+00j
 0.08930529+0.00000000e+00j 0.10837914+0.00000000e+00j]","{'O', 'Er', 'Ca', 'N', 'Cl', 'Sb', 'W', 'Ho', 'F'}"
15,0,N216Si162,"[0.00000000e+00+8.09668648e-05j 6.11080179e-05+0.00000000e+00j
 8.87534194e-05+0.00000000e+00j ... 1.22203141e-01+0.00000000e+00j
 1.22205521e-01+0.00000000e+00j 1.22206223e-01+0.00000000e+00j]","{'O', 'S', 'Li', 'Be', 'Al', 'Se', 'Mg', 'Zn', 'F'}"
15,1,F2Li3MgN206OSeSi152Zn2,"[0.00000000e+00+5.61153485e-05j 0.00000000e+00+7.62228198e-06j
 3.82615398e-05+0.00000000e+00j ... 1.41805930e-01+0.00000000e+00j
 1.42461963e-01+0.00000000e+00j 1.45497079e-01+0.00000000e+00j]","{'O', 'S', 'Li', 'Be', 'Al', 'Se', 'Mg', 'Zn', 'F'}"
15,2,AlBeN216Si157Zn2,"[0.00000000e+00+3.06384551e-05j 3.22881108e-05+0.00000000e+00j
 6.81325765e-05+0.00000000e+00j ... 1.35517875e-01+0.00000000e+00j
 1.35664048e-01+0.00000000e+00j 1.36587011e-01+0.00000000e+00j]","{'O', 'S', 'Li', 'Be', 'Al', 'Se', 'Mg', 'Zn', 'F'}"
