,ICSD,Crystal,n_dopant,n_original,p_dopant,p_original
0,36626,Nb1O5P1_36626.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
1,195115,Bi1Cl1O1_195115.json,"[Species F-, Species Cl-, Species K+, Species Rb+, Species Na+]","[Species O2-, Species O2-, Species Cl-, Species Cl-, Species Cl-]","[Species O2-, Species S2-, Species Na+, Species K+, Species Rb+]","[Species Cl-, Species Cl-, Species Bi3+, Species Bi3+, Species Bi3+]"
2,65183,I3O1W1_65183.json,"[Species F-, Species Cl-, Species K+, Species Cs+, Species Rb+]","[Species O2-, Species O2-, Species I-, Species I-, Species I-]","[Species O2-, Species Cr3+, Species S2-, Species Pb2+, Species Mg2+]","[Species I-, Species W5+, Species I-, Species W5+, Species W5+]"
3,260890,Al2Ca2O9Sn2_260890.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
4,180558,Na2O2_180558.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
5,170946,Cl1Cu1H3N1_170946.json,"[Species O2-, Species S2-, Species Se2-, Species F-, Species Zn2+]","[Species N3-, Species N3-, Species N3-, Species N3-, Species Cu+]","[Species O2-, Species S2-, Species O2-, Species O2-, Species Se2-]","[Species Cl-, Species Cl-, Species Cu+, Species H+, Species Cl-]"
6,262708,Cd1O3Ti1_262708.json,"[Species F-, Species Ta5+, Species Cl-, Species Nb5+, Species Ge4+]","[Species O2-, Species Ti4+, Species O2-, Species Ti4+, Species Cd2+]","[Species Na+, Species Na+, Species Zn2+, Species Mn2+, Species Mg2+]","[Species Cd2+, Species Ti4+, Species Ti4+, Species Ti4+, Species Ti4+]"
7,8097,Ca1O4Te1_8097.json,"[Species F-, Species La3+, Species Cl-, Species Nd3+, Species Pr3+]","[Species O2-, Species Ca2+, Species O2-, Species Ca2+, Species Ca2+]","[Species Na+, Species Re5+, Species K+, Species Ir5+, Species Co2+]","[Species Ca2+, Species Te6+, Species Ca2+, Species Te6+, Species Te6+]"
8,14260,Cl2Cs1I1_14260.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
9,609323,Al1Se2Tl1_609323.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
10,94396,C2Cs2Pd1_94396.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
11,423062,P2S7_423062.json,"[Species S6+, Species Mn7+, Species Br7+, Species Cr6+, Species Cl7+]","[Species P5+, Species P5+, Species P5+, Species P5+, Species P5+]","[Species C4+, Species B3+, Species Si4+, Species Be2+, Species Al3+]","[Species P5+, Species P5+, Species P5+, Species P5+, Species P5+]"
12,31388,Ag1C4Co1O4_31388.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
13,100204,La2O3_100204.json,"[Species F-, Species Cl-, Species Se4+, Species Br-, Species U4+]","[Species O2-, Species O2-, Species La3+, Species O2-, Species La3+]","[Species Sr2+, Species Ba2+, Species Na+, Species Ca2+, Species K+]","[Species La3+, Species La3+, Species La3+, Species La3+, Species La3+]"
14,251803,Ba2H1Mn1O9V2_251803.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
15,169667,Hg1O4W1_169667.json,"[Species F-, Species Cl-, Species Ge4+, Species Sn4+, Species V3+]","[Species O2-, Species O2-, Species Hg2+, Species Hg2+, Species Hg2+]","[Species Na+, Species Cu+, Species Re5+, Species K+, Species Ru5+]","[Species W6+, Species Hg2+, Species W6+, Species W6+, Species W6+]"
16,409475,Ca5N4O2W1_409475.json,"[Species O2-, Species S2-, Species Se2-, Species F-, Species F-]","[Species N3-, Species N3-, Species N3-, Species O2-, Species N3-]","[Species Na+, Species Na+, Species Re5+, Species K+, Species K+]","[Species W6+, Species Ca2+, Species W6+, Species W6+, Species Ca2+]"
17,15913,O2Sr1Zn1_15913.json,"[Species F-, Species La3+, Species Si4+, Species Ge4+, Species Cl-]","[Species O2-, Species Sr2+, Species Zn2+, Species Zn2+, Species O2-]","[Species Cs+, Species Rb+, Species K+, Species Na+, Species Cu+]","[Species Sr2+, Species Sr2+, Species Sr2+, Species Zn2+, Species Zn2+]"
18,76500,Cd3Sb3Tl2_76500.json,"[Species Tl3+, Species Te4+, Species Pb4+, Species Ba2+, Species In3+]","[Species Cd2+, Species Cd2+, Species Cd2+, Species Tl+, Species Cd2+]","[Species Tl+, Species Rb+, Species O2-, Species O2-, Species K+]","[Species Cd2+, Species Cd2+, Species Tl+, Species Cd2+, Species Cd2+]"
19,30503,Ag2H1O4P1_30503.json,"[Species F-, Species Cl-, Species In3+, Species Ga3+, Species Cr6+]","[Species O2-, Species O2-, Species Ag+, Species Ag+, Species P5+]","[Species Si4+, Species O2-, Species Ge4+, Species O2-, Species N3-]","[Species P5+, Species Ag+, Species P5+, Species H+, Species Ag+]"
20,80109,I2O1Ta1_80109.json,"[Species F-, Species Cl-, Species K+, Species Cs+, Species Nb5+]","[Species O2-, Species O2-, Species I-, Species I-, Species Ta4+]","[Species O2-, Species S2-, Species Mn2+, Species Cr3+, Species Ni2+]","[Species I-, Species I-, Species Ta4+, Species Ta4+, Species Ta4+]"
21,194550,La1O4Sb1_194550.json,"[Species F-, Species Mo6+, Species Cl-, Species W6+, Species Se4+]","[Species O2-, Species Sb5+, Species O2-, Species Sb5+, Species La3+]","[Species Na+, Species Sr2+, Species K+, Species Ba2+, Species Na+]","[Species Sb5+, Species La3+, Species Sb5+, Species La3+, Species La3+]"
22,170857,Ba1Cu2Se4Sn1_170857.json,"[Species Zn2+, Species Hg2+, Species Ta5+, Species Cu2+, Species La3+]","[Species Cu+, Species Cu+, Species Sn4+, Species Cu+, Species Ba2+]","[Species Cs+, Species Rb+, Species K+, Species N3-, Species Co2+]","[Species Ba2+, Species Ba2+, Species Ba2+, Species Se2-, Species Sn4+]"
23,51486,Br1La2S5Sb1_51486.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
24,406358,F4H1P1_406358.json,"[Species P4+, Species Ba2+, Species Na+, Species Li+, Species Sr2+]","[Species P3+, Species H+, Species F-, Species F-, Species H+]","[Species O2-, Species Zn2+, Species Tl+, Species O2-, Species N3-]","[Species F-, Species P3+, Species P3+, Species H+, Species F-]"
25,32669,Al1Cl4N2S2_32669.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
26,642996,Mn1Na6S4_642996.json,"[Species Ca2+, Species Sb5+, Species Er3+, Species W6+, Species Ho3+]","[Species Na+, Species Na+, Species Na+, Species Na+, Species Na+]","[Species Na+, Species N3-, Species Li+, Species O2-, Species F-]","[Species Mn2+, Species S2-, Species Mn2+, Species Mn2+, Species Na+]"
27,68294,P1S4Sn1Tl1_68294.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
28,416488,Au1N12Rb1_416488.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
29,166533,Ca2I1P1_166533.json,"[Species Ca2+, Species Ce3+, Species Pr3+, Species Ce3+, Species Pr3+]","[Species I-, Species Ca2+, Species Ca2+, Species I-, Species I-]","[Species Na+, Species Ag+, Species Hg+, Species Li+, Species F-]","[Species Ca2+, Species Ca2+, Species Ca2+, Species Ca2+, Species Ca2+]"
30,27443,Br2Pd1_27443.json,"[Species Fe3+, Species Mn3+, Species Sc3+, Species K+, Species Cr3+]","[Species Pd2+, Species Pd2+, Species Pd2+, Species Br-, Species Pd2+]","[Species O2-, Species S2-, Species Na+, Species Cu+, Species K+]","[Species Br-, Species Br-, Species Pd2+, Species Pd2+, Species Pd2+]"
31,170696,Au1Br3Cs1_170696.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
32,61427,O6Pb3S1_61427.json,"[Species K+, Species F-, Species F-, Species F-, Species Ag+]","[Species O2-, Species O2-, Species O2-, Species O2-, Species O2-]","[Species N3-, None, None, None, None]","[Species O2-, None, None, None, None]"
33,236277,Ga5H1O8_236277.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
34,51101,Br7S1Ta3_51101.json,"[Species Sn4+, Species Ru4+, Species Nb5+, Species Ta5+, Species Ti4+]","[Species Ta3+, Species Ta3+, Species Ta3+, Species Ta3+, Species Ta3+]","[Species O2-, Species S2-, Species N3-, Species Se2-, Species N3-]","[Species Br-, Species Br-, Species S2-, Species Br-, Species Br-]"
35,430165,Al1As3Sr3_430165.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
36,165608,Al1Br4Cu1_165608.json,"[Species Zn2+, Species Hg2+, Species K+, Species Si4+, Species Cu2+]","[Species Cu+, Species Cu+, Species Br-, Species Al3+, Species Cu+]","[Species O2-, Species S2-, Species Li+, Species Na+, Species O2-]","[Species Br-, Species Br-, Species Al3+, Species Al3+, Species Cu+]"
37,61401,Ge2Na4Se5_61401.json,"[Species Ca2+, Species Sb5+, Species Er3+, Species W6+, Species Ho3+]","[Species Na+, Species Na+, Species Na+, Species Na+, Species Na+]","[Species N3-, Species F-, Species O2-, Species Cl-, Species N3-]","[Species Se2-, Species Na+, Species Na+, Species Na+, Species Na+]"
38,184584,Ce1O2_184584.json,"[Species F-, Species Cl-, Species Ir5+, Species Sb5+, Species Ru5+]","[Species O2-, Species O2-, Species Ce4+, Species Ce4+, Species Ce4+]","[Species Na+, Species Fe3+, Species Sc3+, Species K+, Species Li+]","[Species Ce4+, Species Ce4+, Species Ce4+, Species Ce4+, Species Ce4+]"
39,1838,Ba1Fe4O8Sr1_1838.json,"[Species F-, Species La3+, Species Cl-, Species Nd3+, Species Sb5+]","[Species O2-, Species Sr2+, Species O2-, Species Sr2+, Species Fe3+]","[Species Cs+, Species Rb+, Species Cs+, Species K+, Species Na+]","[Species Ba2+, Species Ba2+, Species Sr2+, Species Ba2+, Species Fe3+]"
40,37421,Lu2Mn1S4_37421.json,"[Species W6+, Species Cl-, Species Sc3+, Species Ir5+, Species Sb5+]","[Species Lu3+, Species S2-, Species Mn2+, Species Mn2+, Species Lu3+]","[Species Na+, Species Na+, Species Rb+, Species Tl+, Species K+]","[Species Lu3+, Species Mn2+, Species Lu3+, Species Lu3+, Species Lu3+]"
41,380129,Cl8O2Se4Te3W2_380129.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
42,170006,N4Si3_170006.json,"[Species O2-, Species S2-, Species Se2-, Species F-, Species Li+]","[Species N3-, Species N3-, Species N3-, Species N3-, Species N3-]","[Species Li+, Species Zn2+, Species Be2+, Species Mg2+, Species Al3+]","[Species Si4+, Species Si4+, Species Si4+, Species Si4+, Species Si4+]"
43,10319,Bi1Na3O4_10319.json,"[Species F-, Species W6+, Species Ca2+, Species Sb5+, Species Cl-]","[Species O2-, Species Bi5+, Species Na+, Species Na+, Species O2-]","[Species Na+, Species K+, Species Li+, Species Sn4+, Species Mn2+]","[Species Bi5+, Species Bi5+, Species Bi5+, Species Bi5+, Species Bi5+]"
44,424835,As1Li3S3_424835.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
45,170467,Na1Sn2_170467.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
46,164934,Cu1O3Ta1_164934.json,"[Species F-, Species W6+, Species Zn2+, Species Hg2+, Species Cl-]","[Species O2-, Species Ta5+, Species Cu+, Species Cu+, Species O2-]","[Species Na+, Species Sn4+, Species Ti4+, Species Y3+, Species O2-]","[Species Ta5+, Species Ta5+, Species Ta5+, Species Ta5+, Species Cu+]"
47,54261,K1Na4Sb3Sn1_54261.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
48,2432,Cl1In1_2432.json,"[Species Sb3+, Species La3+, Species Pb2+, Species Yb3+, Species Ce3+]","[Species In+, Species In+, Species In+, Species In+, Species In+]","[Species O2-, Species S2-, Species Cl-, Species Br-, Species I-]","[Species Cl-, Species Cl-, Species In+, Species In+, Species In+]"
49,10393,F4O1W1_10393.json,"[Species F-, Species Cl-, Species Na+, Species I7+, Species Re7+]","[Species O2-, Species O2-, Species F-, Species W6+, Species W6+]","[Species O2-, Species Na+, Species Re5+, Species K+, Species Ru5+]","[Species F-, Species W6+, Species W6+, Species W6+, Species W6+]"
50,155505,Cr3O8Tl1_155505.json,"[Species Cr6+, Species F-, Species Ba2+, Species Sr2+, Species Er3+]","[Species Cr5+, Species O2-, Species Tl+, Species Tl+, Species Tl+]","[Species Si4+, Species Dy3+, Species Th4+, Species B3+, Species Lu3+]","[Species Cr5+, Species Cr5+, Species Cr5+, Species Cr5+, Species Cr5+]"
51,422442,Ag1O2Sc1_422442.json,"[Species F-, Species Cl-, Species In3+, Species Re5+, Species W6+]","[Species O2-, Species O2-, Species Ag+, Species Sc3+, Species Sc3+]","[Species Na+, Species O2-, Species Rb+, Species K+, Species Li+]","[Species Sc3+, Species Ag+, Species Sc3+, Species Sc3+, Species Sc3+]"
52,642398,Li2Te1_642398.json,"[Species Zr4+, Species Co2+, Species Zn2+, Species Hf4+, Species Mg2+]","[Species Li+, Species Li+, Species Li+, Species Li+, Species Li+]","[Species F-, Species O2-, Species N3-, None, None]","[Species Li+, Species Li+, Species Li+, None, None]"
53,60755,Cd1I6In4_60755.json,"[Species Sb3+, Species La3+, Species Pb2+, Species Yb3+, Species Ce3+]","[Species In+, Species In+, Species In+, Species In+, Species In+]","[Species O2-, Species S2-, Species Na+, Species Cl-, Species Se2-]","[Species I-, Species I-, Species Cd2+, Species In+, Species I-]"
54,401906,Br10O1Ta2Te4_401906.json,"[Species Nb5+, Species Ta5+, Species U6+, Species F-, Species Np5+]","[Species Ta4+, Species Ta4+, Species Ta4+, Species O2-, Species Ta4+]","[Species Ru3+, Species Ir3+, Species Ni2+, Species Rh3+, Species Mg2+]","[Species Ta4+, Species Ta4+, Species Ta4+, Species Ta4+, Species Ta4+]"
55,262634,Ag2S1_262634.json,"[Species In3+, Species Cl-, Species Ga3+, Species Ba2+, Species Mg2+]","[Species Ag+, Species S2-, Species Ag+, Species Ag+, Species Ag+]","[Species O2-, Species N3-, Species N3-, Species F-, Species Br-]","[Species Ag+, Species S2-, Species Ag+, Species Ag+, Species Ag+]"
56,419402,Rb1Sb2_419402.json,"[Species Ra2+, Species Ba2+, Species Pb2+, Species Sr2+, Species Eu2+]","[Species Rb+, Species Rb+, Species Rb+, Species Rb+, Species Rb+]","[Species O2-, None, None, None, None]","[Species Rb+, None, None, None, None]"
57,163544,Bi4O12Ti3_163544.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
58,80376,N2Sr2Zn1_80376.json,"[Species O2-, Species S2-, Species Se2-, Species La3+, Species F-]","[Species N3-, Species N3-, Species N3-, Species Sr2+, Species N3-]","[Species Cs+, Species Rb+, Species K+, Species Na+, Species Cu+]","[Species Sr2+, Species Sr2+, Species Sr2+, Species Zn2+, Species Zn2+]"
59,170721,As1C3H6N1_170721.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
60,90994,F1Tl1_90994.json,"[Species Ba2+, Species Sr2+, Species Er3+, Species Ho3+, Species Gd3+]","[Species Tl+, Species Tl+, Species Tl+, Species Tl+, Species Tl+]","[Species O2-, Species N3-, Species Cl-, Species N3-, Species I-]","[Species F-, Species F-, Species Tl+, Species Tl+, Species Tl+]"
61,236169,Fe1La1O3_236169.json,"[Species F-, Species Cl-, Species Sb5+, Species W6+, Species Zr4+]","[Species O2-, Species O2-, Species Fe3+, Species Fe3+, Species Fe3+]","[Species Sr2+, Species Na+, Species Ba2+, Species Na+, Species Ca2+]","[Species La3+, Species Fe3+, Species La3+, Species La3+, Species La3+]"
62,1031,N1Nb1O1_1031.json,"[Species O2-, Species S2-, Species Se2-, Species F-, Species F-]","[Species N3-, Species N3-, Species N3-, Species O2-, Species N3-]","[Species Na+, Species Ti4+, Species Rb+, Species Ca2+, Species Sn4+]","[Species Nb5+, Species Nb5+, Species Nb5+, Species Nb5+, Species Nb5+]"
63,280002,Nb3O6Ti1_280002.json,"[Species Sb5+, Species W6+, Species K+, Species Mo6+, Species Nb5+]","[Species Ti4+, Species Ti4+, Species O2-, Species Ti4+, Species Ti4+]","[Species Cr3+, Species Ga3+, Species As3+, Species Rh3+, Species Al3+]","[Species Ti4+, Species Ti4+, Species Ti4+, Species Ti4+, Species Ti4+]"
64,1055,Cl2Cu2O1_1055.json,"[Species F-, Species Ge4+, Species Cl-, Species Si4+, Species K+]","[Species O2-, Species Cu2+, Species O2-, Species Cu2+, Species Cl-]","[Species O2-, Species S2-, Species Cu+, Species Li+, Species Na+]","[Species Cl-, Species Cl-, Species Cu2+, Species Cu2+, Species Cu2+]"
65,89565,Dy2O2Te1_89565.json,"[Species K+, Species Th4+, Species Po4+, Species Ce4+, Species Pu4+]","[Species O2-, Species Dy3+, Species Dy3+, Species Dy3+, Species Dy3+]","[Species Mn2+, Species Cd2+, Species N3-, Species Ca2+, Species Li+]","[Species Dy3+, Species Dy3+, Species O2-, Species Dy3+, Species Dy3+]"
66,192470,Ag1Fe2Ga1Te4_192470.json,"[Species Hg2+, Species Cd2+, Species Tl3+, Species Tl3+, Species Mn2+]","[Species Ag+, Species Ag+, Species Ag+, Species Fe2+, Species Ag+]","[Species Ag+, Species Ag+, Species Na+, Species Na+, Species Hg2+]","[Species Ga3+, Species Fe2+, Species Ga3+, Species Fe2+, Species Ga3+]"
67,31355,I1Sb1Te1_31355.json,"[Species Pb4+, Species Zr4+, Species Sn4+, Species Ti4+, Species W6+]","[Species Sb3+, Species Sb3+, Species Sb3+, Species Sb3+, Species Sb3+]","[Species Mn2+, Species Cd2+, Species Zn2+, Species Co2+, Species Mg2+]","[Species Sb3+, Species Sb3+, Species Sb3+, Species Sb3+, Species Sb3+]"
68,20459,Sb2Te2_20459.json,"[Species I-, Species Br-, Species Cl-, Species Fr+, Species Cs+]","[Species Te2-, Species Te2-, Species Te2-, Species Te2-, Species Te2-]","[None, None, None, None, None]","[None, None, None, None, None]"
69,100880,Br1Cd2P3_100880.json,"[Species Sb3+, Species Bi3+, Species Pb4+, Species Zr4+, Species Sn4+]","[Species Cd2+, Species Cd2+, Species Cd2+, Species Cd2+, Species Cd2+]","[Species Na+, Species Ag+, None, None, None]","[Species Cd2+, Species Cd2+, None, None, None]"
70,28920,Al1O1_28920.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
71,23262,Cl1I1Sn1_23262.json,"[Species Mn3+, Species Co3+, Species Cr3+, Species Fe3+, Species Sn4+]","[Species Sn2+, Species Sn2+, Species Sn2+, Species Sn2+, Species Sn2+]","[Species O2-, Species O2-, Species S2-, Species Cs+, Species Rb+]","[Species Cl-, Species I-, Species I-, Species Sn2+, Species Sn2+]"
72,236773,B2Co3O6_236773.json,"[Species F-, Species C4+, Species Cl-, Species Ge4+, Species Sn4+]","[Species O2-, Species B3+, Species O2-, Species Co2+, Species Co2+]","[Species Na+, Species Li+, Species O2-, Species K+, Species Ag+]","[Species Co2+, Species Co2+, Species Co2+, Species Co2+, Species B3+]"
73,41209,F2Pd1_41209.json,"[Species Fe3+, Species Mn3+, Species Sc3+, Species Cr3+, Species V3+]","[Species Pd2+, Species Pd2+, Species Pd2+, Species Pd2+, Species Pd2+]","[Species O2-, Species Na+, Species Cu+, Species K+, Species Li+]","[Species F-, Species Pd2+, Species Pd2+, Species Pd2+, Species Pd2+]"
74,658918,Co1In2Se4_658918.json,"[Species Ge4+, Species Sn4+, Species Fe3+, Species W6+, Species Sb5+]","[Species Co2+, Species Co2+, Species Co2+, Species In3+, Species In3+]","[Species Na+, Species Na+, Species K+, Species N3-, Species Cs+]","[Species In3+, Species Co2+, Species In3+, Species Se2-, Species In3+]"
75,159758,Ag2In2S6Si1_159758.json,"[Species P5+, Species V5+, Species As5+, Species In3+, Species Cl-]","[Species Si4+, Species Si4+, Species Si4+, Species Ag+, Species S2-]","[Species Na+, Species Li+, Species K+, Species O2-, Species Zn2+]","[Species In3+, Species Si4+, Species In3+, Species Ag+, Species Si4+]"
76,56788,Rb1S2Sb1_56788.json,"[Species Ba2+, Species Sr2+, Species Cl-, Species Sb5+, Species Er3+]","[Species Rb+, Species Rb+, Species S2-, Species Sb3+, Species Rb+]","[Species Pb2+, Species K+, Species S2-, Species Tl+, Species In+]","[Species Sb3+, Species Sb3+, Species Sb3+, Species Sb3+, Species Sb3+]"
77,16819,Cs1Mn1O4_16819.json,"[Species Ba2+, Species F-, Species Sr2+, Species Cl-, Species Ca2+]","[Species Cs+, Species O2-, Species Cs+, Species O2-, Species Cs+]","[Species S6+, Species Ga3+, Species B3+, Species P5+, Species Cr6+]","[Species Mn7+, Species Mn7+, Species Mn7+, Species Mn7+, Species Mn7+]"
78,108651,O3W1_108651.json,"[Species F-, Species Cl-, Species I7+, Species Re7+, Species Br-]","[Species O2-, Species O2-, Species W6+, Species W6+, Species O2-]","[Species Na+, Species Re5+, Species K+, Species Ru5+, Species Ca2+]","[Species W6+, Species W6+, Species W6+, Species W6+, Species W6+]"
79,63129,Au1Br8Te1_63129.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
80,260895,B1Fe2O12P3_260895.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
81,63544,As1K1Ni1O4_63544.json,"[Species F-, Species Ba2+, Species Sr2+, Species Cl-, Species Fe3+]","[Species O2-, Species K+, Species K+, Species O2-, Species Ni2+]","[Species Si4+, Species Na+, Species Ge4+, Species Li+, Species Li+]","[Species As5+, Species Ni2+, Species As5+, Species As5+, Species Ni2+]"
82,60756,Cd1I6Tl4_60756.json,"[Species Ba2+, Species Sr2+, Species Er3+, Species Ho3+, Species Gd3+]","[Species Tl+, Species Tl+, Species Tl+, Species Tl+, Species Tl+]","[Species O2-, Species S2-, Species Na+, Species Se2-, Species O2-]","[Species I-, Species I-, Species Cd2+, Species I-, Species Cd2+]"
83,280333,Ag2Hg1O2_280333.json,"[Species F-, Species Cl-, Species Ge4+, Species In3+, Species Sn4+]","[Species O2-, Species O2-, Species Hg2+, Species Ag+, Species Hg2+]","[Species Cu+, Species O2-, Species O2-, Species Ag+, Species Li+]","[Species Hg2+, Species Ag+, Species Hg2+, Species Hg2+, Species Hg2+]"
84,250640,B4H16Zr1_250640.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
85,430747,As3Ge3K1_430747.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
86,15399,Cu1O4S1_15399.json,"[Species F-, Species Cl7+, Species Ge4+, Species Cl-, Species Mn7+]","[Species O2-, Species S6+, Species Cu2+, Species O2-, Species S6+]","[Species Be2+, Species P5+, Species B3+, Species Zn2+, Species Cu+]","[Species S6+, Species S6+, Species S6+, Species S6+, Species Cu2+]"
87,77832,S2V1_77832.json,"[Species Nb5+, Species Cl-, Species Ta5+, Species Br-, Species I-]","[Species V4+, Species S2-, Species V4+, Species S2-, Species S2-]","[Species Mg2+, Species Cd2+, Species Mn2+, Species Ni2+, Species Cu2+]","[Species V4+, Species V4+, Species V4+, Species V4+, Species V4+]"
88,14181,Al1Cl6N1S2_14181.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
89,27014,As2Ba1Ni2O8_27014.json,"[Species F-, Species Cl-, Species Fe3+, Species Cr6+, Species Cr3+]","[Species O2-, Species O2-, Species Ni2+, Species As5+, Species Ni2+]","[Species Cs+, Species Rb+, Species Si4+, Species Na+, Species Ge4+]","[Species Ba2+, Species Ba2+, Species As5+, Species Ni2+, Species As5+]"
90,36535,Cu2O2Tl1_36535.json,"[Species K+, Species U6+, Species F-, Species Hg2+, Species Ag+]","[Species O2-, Species Cu1.50+, Species O2-, Species Cu1.50+, Species O2-]","[Species O2-, Species K+, Species F-, Species N3-, Species N3-]","[Species Cu1.50+, Species Cu1.50+, Species Cu1.50+, Species O2-, Species Cu1.50+]"
91,50988,Cl1K1Mo1O5P1_50988.json,"[Species F-, Species Ba2+, Species W6+, Species Mo6+, Species Sr2+]","[Species O2-, Species K+, Species Mo5+, Species Mo5+, Species K+]","[Species O2-, Species Na+, Species S2-, Species Si4+, Species Li+]","[Species Cl-, Species Mo5+, Species Cl-, Species P5+, Species Mo5+]"
92,8161,Fe1Na3S3_8161.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
93,23182,Cl6Fe1K3Na1_23182.json,"[Species Ba2+, Species Sr2+, Species Ca2+, Species Sb5+, Species W6+]","[Species K+, Species K+, Species Na+, Species Na+, Species Fe2+]","[Species O2-, Species Na+, Species S2-, Species Li+, Species K+]","[Species Cl-, Species Fe2+, Species Cl-, Species Fe2+, Species Fe2+]"
94,413921,La2Na1O6Ru1_413921.json,"[Species F-, Species W6+, Species Ca2+, Species Sb5+, Species Mo6+]","[Species O2-, Species Ru5+, Species Na+, Species Na+, Species Ru5+]","[Species Sr2+, Species Na+, Species Ba2+, Species Na+, Species Ca2+]","[Species La3+, Species Ru5+, Species La3+, Species La3+, Species La3+]"
95,174519,Ag1I3O9Pd1_174519.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
96,93485,Cs2Ni1P2S6_93485.json,"[Species Cl-, Species Fr+, Species Br-, Species Cs+, Species Ba2+]","[Species S2-, Species S2-, Species S2-, Species S2-, Species Cs+]","[None, None, None, None, None]","[None, None, None, None, None]"
97,422891,Ba1Lu2S4_422891.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
98,413724,Au1Ge4Rb3_413724.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
99,185524,Cu3S4Ta1_185524.json,"[Species W6+, Species Zn2+, Species Hg2+, Species Cl-, Species Cu2+]","[Species Ta5+, Species Cu+, Species Cu+, Species S2-, Species Cu+]","[Species Na+, Species Sn4+, Species Ti4+, Species Y3+, Species N3-]","[Species Ta5+, Species Ta5+, Species Ta5+, Species Ta5+, Species S2-]"
100,425734,Cl1N1Zn2_425734.json,"[Species O2-, Species S2-, Species Se2-, Species F-, Species Si4+]","[Species N3-, Species N3-, Species N3-, Species N3-, Species Zn2+]","[Species O2-, Species Na+, Species S2-, Species Cu+, Species K+]","[Species Cl-, Species Zn2+, Species Cl-, Species Zn2+, Species Zn2+]"
101,300228,Cl6Rb3Tl1_300228.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
102,12159,Cd1Na1Sb1_12159.json,"[Species Tl3+, Species Bi3+, Species Te4+, Species Cd2+, Species Pb4+]","[Species Cd2+, Species Na+, Species Cd2+, Species Na+, Species Cd2+]","[Species Li+, Species Na+, Species Ag+, Species F-, Species K+]","[Species Cd2+, Species Cd2+, Species Cd2+, Species Cd2+, Species Cd2+]"
